v ps : > ts,16,32,64,128,256,512,1024,
1024,21,0,10,2,730,0,13,4,1121,0,7,5,815,0,6,2,526,0,14,5,714,0,7,1,516,0,9,2,4
2048,14,0,7,3,312,0,6,3,214,0,9,1,212,0,7,2,113,0,8,2,212,0,6,2,213,0,8,1,2
4096,14,0,6,4,312,0,7,3,112,0,6,3,215,0,10,2,212,0,6,2,212,0,7,3,214,0,9,2,2
8192,14,0,6,4,213,0,8,1,212,0,6,2,214,0,9,1,215,0,7,5,211,0,7,1,113,0,7,3,2
16384,15,0,7,5,115,0,9,3,212,0,7,2,217,0,7,2,711,0,7,1,112,0,7,2,212,0,8,2,2
32768,14,0,8,2,316,0,8,5,220,0,12,3,317,0,9,3,414,0,8,4,116,0,7,3,514,0,8,2,2
65536,15,0,10,2,214,0,8,2,217,0,10,3,313,0,9,2,114,0,9,2,217,0,9,4,316,0,9,4,2
131072,18,0,11,3,221,0,12,5,119,0,12,3,320,0,10,2,626,0,13,7,517,0,10,3,218,0,10,4,4
262144,29,0,16,6,522,0,15,2,220,0,13,4,121,0,14,4,226,0,17,3,519,0,14,3,124,0,16,4,4
524288,32,0,23,6,332,0,24,4,230,0,22,6,130,0,22,6,132,0,25,4,128,0,22,3,130,0,21,4,4
